"Ccl Lvo","Grado","Org Acad","Descr Fmal","Catálogo","ID Curso","Asignatura","Nº Clase","Sección","Sesión","Componente","Estado Clase","Est Inscr","Lun","Mart","Miérc","Jue","Vier","Sáb","Dom","Hora Inicio Clase","Hora Fin Clase","F Inicial","F Final","ID Instalación","Capacidad Aula Asignada","Capacidad Aula Solicitada","Capacidad Inscripción","Descr","Tot Inscr"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004181","Administración Básica Linux","8320","1","Ordinaria","Teórico - Práctico","Activo","Abierto","Y","N","N","N","N","N","N","11:00:00.000000AM"," 1:00:00.000000PM","07/25/2011","12/03/2011","NO-SALON","1000","24","20","","17"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5191","1","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","N","Y","N","N","N"," 7:00:00.000000AM"," 9:00:00.000000AM","07/25/2011","12/03/2011","NO-SALON","1000","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5191","1","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","Y","N","N","N","N","N"," 7:00:00.000000AM"," 9:00:00.000000AM","07/25/2011","12/03/2011","SC052-P424","25","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5192","2","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","N","N","Y","N","N"," 7:00:00.000000AM"," 9:00:00.000000AM","07/25/2011","12/03/2011","SC051-P332","24","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5192","2","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","Y","N","N","N","N"," 7:00:00.000000AM"," 9:00:00.000000AM","07/25/2011","12/03/2011","SC052-P410","25","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5193","3","Ordinaria","Teórico - Práctico","Activo","Abierto","N","N","N","Y","N","N","N","11:00:00.000000AM"," 1:00:00.000000PM","07/25/2011","12/03/2011","PC002-S203","30","20","20","","19"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5193","3","Ordinaria","Teórico - Práctico","Activo","Abierto","N","Y","N","N","N","N","N","11:00:00.000000AM"," 1:00:00.000000PM","07/25/2011","12/03/2011","SC067-P107","24","20","20","","19"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5194","4","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","N","N","Y","N","N"," 9:00:00.000000AM","11:00:00.000000AM","07/25/2011","12/03/2011","PC002-S105","20","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5194","4","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","Y","N","N","N","N"," 9:00:00.000000AM","11:00:00.000000AM","07/25/2011","12/03/2011","SC052-P426","25","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5195","5","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","N","N","Y","N","N","N"," 9:00:00.000000AM","11:00:00.000000AM","07/25/2011","12/03/2011","PC002-S105","20","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5195","5","Ordinaria","Teórico - Práctico","Activo","Cerrado","N","Y","N","N","N","N","N"," 9:00:00.000000AM","11:00:00.000000AM","07/25/2011","12/03/2011","SC052-P410","25","20","20","","20"
"1130","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","004056","Admón. Sistemas de Información","5196","6","Ordinaria","Teórico - Práctico","Activo","Abierto","N","N","N","Y","N","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","07/25/2011","12/03/2011","PC002-S103","20","20","20","","16"
