Asignatura,Prerrequisito
15838,1291
15838,4190
15838,4165
15838,1339
15838,4075
15838,4082
15838,4085
15838,6187
15838,4186
15838,4196
15838,2356
22469,4070
22469,15838
1290,NULL
3194,4196
1291,1300
4183,4206
4183,3195
4185,4070
4186,4210
4186,4208
4186,4184
1295,NULL
1297,1295
1299,1297
1299,1290
4190,4208
4190,4210
4190,4208
4190,3195
16143,NULL
1300,1297
1300,1290
2356,NULL
4196,4210
4196,17620
2376,NULL
4165,4249
2476,2544
1370,NULL
1339,1340
1339,1297
1340,1295
4064,4165
4064,4082
4064,4056
4070,4082
4070,4208
4070,4184
4071,NULL
22586,4190
22586,4085
15806,4249
6187,NULL
4204,4196
4204,4195
1303,NULL
4136,4206
17620,1303
4206,NULL
4075,4071
1449,NULL
4249,1297
4208,4206
4208,3195
4210,4206
4210,3195
5100,1291
5100,4190
5100,4165
5100,1339
5100,4075
5100,4082
5100,4085
5100,6187
5100,4186
5100,4204
5100,2356
5100,2476
4082,4183
4082,4186
4085,4136
4085,4210


